Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,PCT_SE_A18002_002,PCT_SE_A18002_003,PCT_SE_A18002_004,PCT_SE_A18002_005,PCT_SE_A18002_006
36005000100,Census Tract 1,"Census Tract 1, Bronx County, New York",ny,140,0,ACSSF,3484,,,,,36,5,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005000100,,,1677210,1035011,0,0,0,0,0,0,,,,,
36005000200,Census Tract 2,"Census Tract 2, Bronx County, New York",ny,140,0,ACSSF,3485,,,,,36,5,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005000200,,,479463,852046,631,10,197,102,250,72,1.58,31.22,16.16,39.62,11.41
36005000400,Census Tract 4,"Census Tract 4, Bronx County, New York",ny,140,0,ACSSF,3486,,,,,36,5,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005000400,,,770689,690794,464,0,216,43,164,41,0,46.55,9.27,35.34,8.84
36005001600,Census Tract 16,"Census Tract 16, Bronx County, New York",ny,140,0,ACSSF,3487,,,,,36,5,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005001600,,,485079,0,1699,71,655,479,428,66,4.18,38.55,28.19,25.19,3.88
36005001900,Census Tract 19,"Census Tract 19, Bronx County, New York",ny,140,0,ACSSF,3488,,,,,36,5,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005001900,,,1668013,1143135,831,39,243,218,290,41,4.69,29.24,26.23,34.9,4.93
36005002000,Census Tract 20,"Census Tract 20, Bronx County, New York",ny,140,0,ACSSF,3489,,,,,36,5,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005002000,,,395564,0,2563,182,985,663,699,34,7.1,38.43,25.87,27.27,1.33
36005002300,Census Tract 23,"Census Tract 23, Bronx County, New York",ny,140,0,ACSSF,3490,,,,,36,5,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005002300,,,104645,0,2000,91,739,782,321,67,4.55,36.95,39.1,16.05,3.35
36005002400,Census Tract 24,"Census Tract 24, Bronx County, New York",ny,140,0,ACSSF,3491,,,,,36,5,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005002400,,,675911,263388,43,0,38,0,5,0,0,88.37,0,11.63,0
36005002500,Census Tract 25,"Census Tract 25, Bronx County, New York",ny,140,0,ACSSF,3492,,,,,36,5,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005002500,,,127492,0,1856,52,583,586,516,119,2.8,31.41,31.57,27.8,6.41
36005002701,Census Tract 27.01,"Census Tract 27.01, Bronx County, New York",ny,140,0,ACSSF,3493,,,,,36,5,,,,2701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005002701,,,82641,0,1061,73,418,304,205,61,6.88,39.4,28.65,19.32,5.75
36005002702,Census Tract 27.02,"Census Tract 27.02, Bronx County, New York",ny,140,0,ACSSF,3494,,,,,36,5,,,,2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005002702,,,155504,0,1428,30,338,342,643,75,2.1,23.67,23.95,45.03,5.25
36005002800,Census Tract 28,"Census Tract 28, Bronx County, New York",ny,140,0,ACSSF,3495,,,,,36,5,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005002800,,,414588,24677,1851,0,987,581,218,65,0,53.32,31.39,11.78,3.51
36005003100,Census Tract 31,"Census Tract 31, Bronx County, New York",ny,140,0,ACSSF,3496,,,,,36,5,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005003100,,,154703,0,472,7,173,144,142,6,1.48,36.65,30.51,30.08,1.27
36005003300,Census Tract 33,"Census Tract 33, Bronx County, New York",ny,140,0,ACSSF,3497,,,,,36,5,,,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005003300,,,152385,0,1065,40,276,256,415,78,3.76,25.92,24.04,38.97,7.32
36005003500,Census Tract 35,"Census Tract 35, Bronx County, New York",ny,140,0,ACSSF,3498,,,,,36,5,,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005003500,,,142005,0,1210,57,534,207,350,62,4.71,44.13,17.11,28.93,5.12
36005003700,Census Tract 37,"Census Tract 37, Bronx County, New York",ny,140,0,ACSSF,3499,,,,,36,5,,,,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005003700,,,165973,0,148,0,51,33,64,0,0,34.46,22.3,43.24,0
36005003800,Census Tract 38,"Census Tract 38, Bronx County, New York",ny,140,0,ACSSF,3500,,,,,36,5,,,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005003800,,,63397,0,284,23,116,64,67,14,8.1,40.85,22.54,23.59,4.93
36005003900,Census Tract 39,"Census Tract 39, Bronx County, New York",ny,140,0,ACSSF,3501,,,,,36,5,,,,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US36005003900,,,216210,0,1930,200,404,544,649,133,10.36,20.93,28.19,33.63,6.89
